"","entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"17215",17215,2.01906275471736,4.79519620058615,4.24451203512991,0.00110642722013285,0.00678013795540117,-0.88587034029675,"Mcm3"
"13614",13614,2.0468594212942,4.45978029437057,4.24174043884,0.0011119190482023,0.00679797626220083,-0.665662754495459,"Edn1"
"70645",70645,2.40070411685921,0.559649858490534,4.20857330029747,0.00117987310221827,0.00709270236114779,-0.805348256794588,"Oip5"
"229706",229706,2.1494363976887,-0.316815799942465,4.20342479561313,0.00119080107801315,0.00713938552235198,-0.66073148139134,"Slc6a17"
"77777",77777,2.26550409071589,1.32469019495979,4.17324839262516,0.00125699375484826,0.00741251093344103,-0.778691006113605,"Ulbp1"
"72393",72393,3.77822779173711,-1.10551172595423,4.1432292987163,0.00132662576302569,0.00772228123714845,-1.50402509246426,"Faim2"
"71761",71761,2.77140768027837,-2.73014897678481,4.12662938586409,0.00136683205073003,0.00792131049862022,-1.01371298394552,"Amdhd1"
"223780",223780,3.64718942035899,-1.57819316289336,4.11801105298848,0.00138820108341381,0.00801283050484727,-1.54370630501601,"Adm2"
"258571",258571,2.69132351947467,-2.77491437594816,4.10098068305466,0.00143144897886895,0.00818177926294569,-1.18009869950746,"Olfr1033"
"60530",60530,2.15125262467707,0.983820997922894,4.08179103366562,0.0014818523534466,0.00839397655694266,-0.928388661463842,"Fignl1"
"18751",18751,2.24574110205461,-2.07433492729006,4.06495209830539,0.00152759078078978,0.00858231237099244,-1.02037764380975,"Prkcb"
"16534",16534,2.43160795815328,4.18078380481627,4.06168295737617,0.00153663818658618,0.00861171273078299,-0.902116851632383,"Kcnn4"
"217216",217216,4.02328858573137,0.714990327109898,4.05208189971877,0.00156353044142479,0.00872837693263066,-1.19840438430343,"Hrob"
"67792",67792,2.78445735983188,-0.337929961098014,4.05023900772132,0.00156874765014589,0.0087482314265722,-1.11694533386677,"Rgs8"
"17218",17218,2.27472823785203,5.04383232407051,4.03844093097588,0.00160257635981485,0.00888982688329724,-1.19208562918178,"Mcm5"
"105439",105439,3.02131830482335,1.01456031250656,4.02977262568532,0.00162791011761555,0.00898767063093979,-1.30204286429329,"Slain1"
"72107",72107,2.48729789033045,0.799940251399098,4.02952439173862,0.00162864165532261,0.00898767063093979,-0.982478366143948,"Dscc1"
"654309",654309,2.07413994267303,-1.98437478604066,4.01125509152497,0.00168342242814744,0.00917090936037303,-1.21130753031511,"Nrp"
"56774",56774,3.2039822580953,1.39173621999257,4.00621783880683,0.00169885843276936,0.0092242539571635,-1.12980326741692,"Slc6a14"
"330908",330908,4.68105449442218,-1.04973122182997,4.00567997850435,0.00170051523723649,0.00922903255813375,-0.986018740167416,"Opcml"
"28240",28240,2.6765000637123,-2.74157501291887,3.92833167323346,0.00195700162924307,0.0102310465592317,-1.35748985149642,"Trpm2"
"12349",12349,2.12774503664496,4.43902305278957,3.91323234866867,0.00201155113020795,0.0104505437415538,-1.20941391501076,"Car2"
"69631",69631,2.54444679214338,0.612058026969153,3.91281570384822,0.00201307834020843,0.0104550411070174,-1.331079487518,"Plet1os"
"64406",64406,3.28911074420332,-3.59930224656615,3.88405131137043,0.0021214511897374,0.010832767238323,-1.74898289854288,"Sp5"
"13421",13421,3.94385024177893,-3.05131282034793,3.85690803547361,0.00222922033431783,0.0112079228371027,-1.73368720951278,"Dnase1l3"
"11685",11685,2.43037164577539,1.99951059389838,3.84769893933488,0.00226704922454228,0.0113553695927148,-1.22631355243057,"Alox12e"
"74342",74342,2.33966131364587,-2.75193299933803,3.84276116840789,0.00228760346916082,0.0114363826346323,-1.31232483268759,"Lrrtm1"
"17970",17970,2.3104509825432,-0.679703257723281,3.81956588879859,0.0023867498248481,0.0118208067163583,-1.52073159907111,"Ncf2"
"545291",545291,2.10159606629564,-1.95448764345801,3.8175711994057,0.00239547942431736,0.0118399291104856,-1.28789716539578,"Hpse2"
"12259",12259,2.81785411826891,-0.570518343008677,3.7818066355243,0.00255768447979587,0.0124106986548032,-1.38776262892331,"C1qa"
